Car_ID,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Days_Since_Last_Service,Days_To_Warranty_Expiry,Is_Warranty_Expired,Need_Maintenance,Next_Service_Days
52,79672,Average,2,7,Diesel,Automatic,1,3,15.506840259683946,1,2,2,400,202,0,0,0.0
53,30140,Poor,2,2,Diesel,Manual,1,0,13.969126621573274,2,2,0,535,3,0,1,582.82
54,68050,Poor,5,4,Petrol,Manual,9,3,19.226293151483173,1,0,0,629,-208,1,1,725.84
55,68894,Good,3,4,Petrol,Automatic,1,2,11.324353298324867,0,2,0,346,262,0,1,486.9
56,40718,Poor,1,10,Electric,Automatic,8,2,11.633253145263884,1,0,2,584,117,0,1,664.6
57,46001,Average,3,7,Diesel,Automatic,3,0,13.895093555361514,2,0,1,347,-185,1,1,486.57
58,39241,Good,3,9,Diesel,Manual,3,3,12.358876236793837,1,1,0,629,-49,1,1,732.08
59,30441,Average,1,8,Petrol,Automatic,3,2,17.271376447276456,1,1,0,441,192,0,1,505.6
60,48202,Good,0,1,Diesel,Automatic,3,1,14.83234487105589,2,0,0,604,427,0,1,714.52
61,36962,Average,3,7,Diesel,Automatic,5,2,17.545417128752177,0,1,2,420,-179,1,1,504.2
62,75355,Good,0,5,Petrol,Automatic,1,0,11.494905007409864,0,2,2,395,335,0,0,0.0
63,36846,Good,3,1,Electric,Automatic,1,2,17.621822583451696,2,1,0,434,11,0,1,530.11
64,74399,Poor,0,5,Diesel,Manual,6,1,13.032120161120124,2,1,2,478,367,0,0,0.0
65,38634,Average,1,9,Diesel,Manual,8,3,13.55132955809059,0,2,0,638,377,0,1,709.03
66,33025,Average,2,5,Electric,Automatic,4,0,12.091147688098827,0,1,2,400,237,0,0,0.0
67,60149,Poor,3,5,Petrol,Automatic,9,1,16.633736838509158,1,0,1,506,379,0,1,595.62
68,64897,Average,0,6,Diesel,Manual,4,0,16.90983070967792,2,2,1,370,75,0,0,0.0
69,53189,Average,1,5,Diesel,Automatic,9,2,19.034676108975987,0,2,1,483,-220,1,1,612.61
70,41785,Average,3,9,Diesel,Automatic,6,3,18.74148184680038,1,0,0,406,-67,1,1,480.19
71,34071,Poor,5,8,Petrol,Automatic,1,1,11.237979878478493,2,1,0,587,-167,1,1,646.72
72,57672,Average,0,10,Electric,Automatic,4,3,13.158396922138651,2,0,2,417,41,0,1,515.78
73,62044,Poor,0,7,Diesel,Automatic,3,1,12.464507748664104,2,0,0,556,106,0,1,616.26
74,49480,Average,0,9,Diesel,Manual,7,1,18.76212032854733,0,0,0,336,-123,1,1,439.12
75,77416,Good,0,6,Electric,Automatic,6,3,18.689813708602102,0,0,2,424,269,0,1,533.04
76,74933,Good,0,9,Diesel,Manual,4,1,14.52206758710702,0,1,0,413,268,0,1,557.3
77,66323,Good,3,10,Diesel,Automatic,8,3,12.640549253323602,1,0,2,388,-234,1,1,518.84
78,51086,Good,4,4,Petrol,Manual,3,0,10.39557353463698,1,2,0,528,146,0,1,644.48
79,42209,Poor,3,8,Electric,Automatic,1,1,17.147794997273508,0,1,0,370,-224,1,1,470.43
80,73580,Good,4,3,Petrol,Automatic,8,0,11.93139025398058,1,1,1,508,350,0,1,607.11
81,52328,Poor,1,3,Diesel,Manual,3,1,10.245354279505769,0,2,0,555,-35,1,1,652.62
82,49587,Good,2,6,Petrol,Manual,4,3,10.232333657554143,1,0,0,386,37,0,1,543.55
83,39730,Average,2,7,Petrol,Automatic,6,2,18.054500368713526,0,0,2,615,-148,1,1,706.62
84,75006,Poor,2,3,Electric,Manual,7,1,10.105921445155364,0,1,2,524,341,0,1,649.96
85,72738,Good,3,3,Petrol,Manual,8,2,18.617780852971045,0,1,1,531,-53,1,1,589.66
86,32167,Average,4,2,Petrol,Automatic,7,3,10.41785689028152,2,0,1,503,346,0,1,642.14
87,42758,Poor,5,9,Diesel,Manual,1,3,11.099202518576355,0,0,2,647,240,0,1,707.41
88,48499,Good,1,2,Electric,Automatic,5,0,12.739827262218668,1,2,0,620,323,0,1,747.97
89,66271,Poor,5,2,Electric,Manual,1,1,12.259911753274965,1,2,1,561,-61,1,1,617.35
90,72331,Average,1,6,Diesel,Manual,5,0,16.308315414512364,1,1,0,585,233,0,1,645.07
91,46701,Average,5,3,Petrol,Manual,10,3,18.069042047092104,2,2,0,510,-204,1,1,620.48
92,49089,Poor,5,9,Electric,Manual,7,3,15.53444999386609,1,1,2,578,155,0,1,633.95
93,77145,Average,3,8,Diesel,Automatic,1,1,17.344619150316333,2,2,1,502,351,0,1,617.59
94,51344,Average,2,5,Diesel,Manual,3,1,14.20668456566893,1,1,1,481,-33,1,0,0.0
95,54115,Good,2,9,Diesel,Automatic,5,0,17.528666383647845,1,0,2,550,232,0,1,626.15
96,45410,Good,3,4,Electric,Manual,2,2,18.712968241531776,2,2,2,355,58,0,0,0.0
97,53911,Average,2,2,Electric,Manual,1,1,18.657364014935744,1,2,1,459,228,0,0,0.0
98,36908,Good,3,3,Electric,Automatic,3,0,16.68584188728883,1,0,1,615,-188,1,1,691.57
99,33716,Average,2,3,Petrol,Automatic,6,1,17.767426377187363,2,2,1,451,-175,1,0,0.0
100,58813,Average,4,7,Electric,Automatic,1,0,17.294116766848035,2,2,0,401,216,0,1,526.32
